INFO 2025-02-19 21:56:18,622 autoreload Watching for file changes with StatReloader
DEBUG 2025-02-19 21:56:18,999 autoreload File C:\Users\Smart\AppData\Local\Programs\Python\Python311\Lib\numbers.py first seen with mtime 1666629248.0
DEBUG 2025-02-19 21:56:18,999 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\django\contrib\auth\views.py first seen with mtime 1739825268.9971967
DEBUG 2025-02-19 21:56:19,000 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\django\utils\text.py first seen with mtime 1739825269.9313536
DEBUG 2025-02-19 21:56:19,000 autoreload File C:\Users\Smart\AppData\Local\Programs\Python\Python311\Lib\email\mime\base.py first seen with mtime 1666629248.0
DEBUG 2025-02-19 21:56:19,000 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\rest_framework\serializers.py first seen with mtime 1739825849.5561502
DEBUG 2025-02-19 21:56:19,001 autoreload File D:\mobile_app\apsocial_backend\users\serializers\auth.py first seen with mtime 1739986697.774063
DEBUG 2025-02-19 21:56:19,001 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\django\db\backends\base\client.py first seen with mtime 1739825269.825353
DEBUG 2025-02-19 21:56:19,002 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\django\utils\translation\reloader.py first seen with mtime 1739825269.933352
DEBUG 2025-02-19 21:56:19,002 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\django\contrib\auth\middleware.py first seen with mtime 1739825268.9941974
DEBUG 2025-02-19 21:56:19,002 autoreload File C:\Users\Smart\AppData\Local\Programs\Python\Python311\Lib\pickle.py first seen with mtime 1666629248.0
DEBUG 2025-02-19 21:56:19,003 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\django\utils\asyncio.py first seen with mtime 1739825269.920353
DEBUG 2025-02-19 21:56:19,003 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\rest_framework\utils\formatting.py first seen with mtime 1739825849.9088006
DEBUG 2025-02-19 21:56:19,004 autoreload File C:\Users\Smart\AppData\Local\Programs\Python\Python311\Lib\encodings\cp1251.py first seen with mtime 1666629248.0
DEBUG 2025-02-19 21:56:19,004 autoreload File C:\Users\Smart\AppData\Local\Programs\Python\Python311\Lib\subprocess.py first seen with mtime 1666629248.0
DEBUG 2025-02-19 21:56:19,005 autoreload File C:\Users\Smart\AppData\Local\Programs\Python\Python311\Lib\dis.py first seen with mtime 1666629248.0
